filename	author	author_birth_year	author_death_year	realname	title	source_title	colophon	first_book_publication	edition_year	firstprint_description	year
karnovich.na_vysote_i_na_dole_tsarevna_sofya_alekseyevna.txt	Карнович, Евгений Петрович	1823	1885		На высоте и на доле: Царевна Софья Алексеевна	Придворное кружево. Романы. Евгений Карнович. [Авт. послесл. и коммент. Н.И. Цымбаев]	М.: Современник, 1994	1897	1994	На высоте и на доле. (Царевна Софья Алексеевна). Ист. роман. [Соч.] Евгения Карновича, Санкт-Петербург В.И. Губинский 1897	1897
karnovich.pridvornoye_kruzhevo.txt	Карнович, Евгений Петрович	1823	1885		Придворное кружево	Придворное кружево. Романы. Евгений Карнович. [Авт. послесл. и коммент. Н.И. Цымбаев]	М.: Современник, 1994	1885	1994	Придворное кружево. Ист. роман Е.П. Карновича, Санкт-Петербург Москва т-во М.О. Вольф 1885	1885
khomyakov.svetloye_voskresenye.txt	Хомяков, Алексей Степанович	1804	1860		Светлое Воскресенье			1900		Полное собрание сочинений Алексея Степановича Хомякова. Москва. 24. Хомяков, Алексей Степанович (1804-1860), Трагедии и стихотворения. С портр. и с изображением Ермака, Москва Университетская типография 1900	1900
khvoshchinskaya.bratets.txt	Хвощинская (Зайончковская), Надежда Дмитриевна	1824	1899		Братец	Повести и рассказы. Н.Д. Хвощинская (В. Крестовский - псевдоним). [Сост., подгот. текста, послесл. и примеч. М.С. Горячкиной]	М.: Моск. рабочий, 1984	1858	1984	Отечественные записки. 1858. № 10, 	1858
khvoshchinskaya.pansionerka.txt	Хвощинская (Зайончковская), Надежда Дмитриевна	1824	1899		Пансионерка	Повести и рассказы. Н.Д. Хвощинская (В. Крестовский - псевдоним). [Сост., подгот. текста, послесл. и примеч. М.С. Горячкиной]	М.: Моск. рабочий, 1984	1861	1984	Отечественные записки. 1861. № 3, 	1861
khvoshchinskaya.pervaya_borba.txt	Хвощинская (Зайончковская), Надежда Дмитриевна	1824	1899		Первая борьба	Повести и рассказы. Н.Д. Хвощинская (В. Крестовский - псевдоним). [Сост., подгот. текста, послесл. и примеч. М.С. Горячкиной]	М.: Моск. рабочий, 1984	1879	1984	"Первая борьба. (Из записок). [Соч.] В. Крестовского (псевд.), Санкт-Петербург кн. маг. ""Нового времени"" 1879"	1879
kogan.v_glukhom_mestechke.txt	Коган, Наум Львович	1863	1893		В глухом местечке	В глухом местечке. Рассказ Н. Наумова	М.: Посредник, 1898	1893 (обл. 1894)	1898	В глухом местечке. рассказ Н. Наумова, Санкт-Петербург Типо-лит. А.Е. Ландау 1893 (обл. 1894)	1894
kokhanovskaya.gayka.txt	Кохановская, Надежда Степановна	1823 или 1825	1884		Гайка	Русское слово. Г.2. 1860. № 12 (декабрь)		1860	1860	Русское слово. Г.2. 1860. № 12 (декабрь), 	1860
kokhanovskaya.iz_provintsialnoy_galerei_portretov.txt	Кохановская, Надежда Степановна	1823 или 1825	1884		Из провинциальной галереи портретов	Дача на Петергофской дороге. Проза русских писательниц первой половины XIX века. сост., автор вступ. статьи и примеч. В.В. Ученова	М.: Современник, 1986	1863	1986	Повести Кохановской. Соханская. 1823-1884, [После обеда в гостях. Из провинциальной галереи портретов. Старина], Москва тип. Бахметева 1863	1863
kokhanovskaya.lyubila.txt	Кохановская, Надежда Степановна	1823 или 1825	1884		Любила	Библиотека для чтения, 1858, Т.150		1858	1858	Библиотека для чтения, 1858, Т.150, 	1858
